zip	data
04939	373
04940	0
04941	663
04942	544
04943	754
04944	16
04945	646
04947	815
04949	415
04950	2264
04951	448
04952	802
04953	1489
04955	612
04956	234
04957	1721
04958	906
04961	420
04963	3216
04964	69
04965	835
04966	679
04967	1633
04969	493
04970	726
04971	827
04973	598
04974	1293
04975	36
04976	4552
04978	421
04979	396
04981	1189
04982	184
04983	717
04984	234
04985	80
04986	694
04987	411
04988	690
04989	2005
04992	0
05001	4131
05009	0
05030	64
05031	18
05032	1135
05033	1326
05034	108
05035	362
05036	489
05037	402
05038	561
05039	413
05040	269
05041	89
05042	255
05043	447
05045	864
05046	520
05048	998
05050	64
05051	432
05052	193
05053	113
05055	1227
05056	143
05058	108
05059	257
05060	1963
05061	746
05062	250
05065	415
05067	83
05068	1344
05069	297
05070	191
05071	68
05072	302
05073	27
05075	607
05076	229
05077	419
05079	400
05081	365
05083	83
05084	48
05086	254
05088	426
05089	2181
05091	1519
05101	1913
05141	59
05142	237
05143	1992
05146	280
05148	691
05149	1021
05150	247
05151	587
05152	172
05153	293
05154	224
05155	340
05156	3776
05158	418
05161	281
05201	6161
05250	1459
05251	564
05252	184
05253	291
05254	169
05255	1582
05257	843
05260	152
05261	889
05262	733
05301	7590
05340	304
05341	289
05342	163
05343	462
05344	0
05345	765
05346	2064
05350	370
05351	107
05352	360
05353	526
05354	947
05355	303
05356	344
05358	145
05359	286
05360	117
05361	344
05362	92
05363	1050
05401	13361
05403	9285
05404	3841
05405	8
05408	4344
05439	0
05440	816
05441	221
05442	197
05443	2793
05444	692
05445	1754
05446	6837
05447	56
05448	391
05450	2049
05452	9649
05454	1988
05455	462
05456	392
05457	693
05458	879
05459	789
05461	2177
05462	798
05463	247
05464	1171
05465	2266
05468	4923
05471	398
05472	817
05473	632
05474	529
05476	1222
05477	1918
05478	6449
05481	0
05482	3341
05483	662
05485	0
05486	607
05487	595
05488	2924
05489	1381
05491	2364
05492	345
05494	672
05495	4687
05602	5595
05640	99
05641	7729
05647	447
05648	228
05649	160
05650	351
05651	609
05652	298
05653	253
05654	484
05655	1246
05656	1349
05658	571
05660	769
05661	3001
05663	2315
05664	0
05666	9
05667	974
05669	298
05670	38
05672	2462
05673	1100
05674	728
05675	454
05676	2152
05677	833
05678	58
05679	1257
05680	844
05681	55
05682	505
05701	9257
05730	208
05731	18
05732	594
05733	2456
05734	562
05735	1237
05736	227
05737	277
05738	443
05739	565
05742	255
05743	1658
05744	237
05746	0
05747	159
05748	214
05751	378
05753	3619
05757	302
05758	296
05759	825
05760	416
05761	464
05762	190
05763	1286
05764	1177
05765	692
05766	201
05767	736
05768	14
05769	508
05770	493
05772	415
05773	859
05774	430
05775	226
05776	141
05777	1401
05778	376
05819	3976
05820	130
05821	402
05822	866
05824	544
05825	42
05826	321
05827	210
05828	896
05829	812
05830	712
05832	397
05833	18
05836	557
05837	151
05839	239
05840	18
05841	160
05842	236
05843	1072
05845	571
05846	554
05847	397
05850	75
05851	2527
05853	331
05855	3262
05857	603
05858	134
05859	892
05860	1156
05862	189
05866	294
05867	276
05868	35
05871	565
05872	392
05873	365
05874	246
05875	213
05901	5
05902	48
05903	352
05904	92
05905	458
05906	526
05907	53
06001	7759
06002	8992
06010	24745
06013	3252
06016	2921
06018	1075
06019	4106
06020	0
06021	601
06022	15
06023	659
06024	222
06026	1919
06027	573
06029	6302
06031	590
06032	7866
06033	11981
06035	3149
06037	7672
06039	732
06040	14692
06042	10359
06043	1951
06051	12156
06052	3406
06053	13772
06057	2405
06058	763
06059	97
06060	848
06061	247
06062	8117
06063	1207
06065	246
06066	13497
06067	8918
06068	745
06069	1379
06070	5754
06071	3480
06072	0
06073	2186
06074	9720
06076	4868
06078	3946
06079	0
06080	0
06081	652
06082	16862
06084	5225
06085	2842
06088	2219
06089	1592
06090	376
06091	88
06092	1288
06093	1380
06095	11360
06096	5354
06098	4983
06103	2042
06105	9998
06106	14849
06107	8067
06108	9497
06109	11333
06110	5266
06111	12754
06112	7587
06114	9847
06117	5901
06118	11022
06119	6813
06120	4983
06226	7186
06231	1359
06232	1173
06234	2924
06235	876
06237	2122
06238	4881
06239	4727
06241	2571
06242	480
06243	25
06247	927
06248	2093
06249	2821
06250	1862
06254	725
06255	1972
06256	807
06258	0
06259	1735
06260	4122
06262	410
06263	98
06264	82
06266	143
06268	3435
06269	111
06277	1607
06278	1871
06279	2589
06280	1514
06281	3035
06282	552
06320	11583
06330	1178
06331	2236
06332	479
06333	2816
06334	929
06335	2078
06336	9
06338	17
06339	3421
06340	12946
06350	38
06351	6527
06353	145
06354	2279
06355	5393
06357	5078
06359	2051
06360	15717
06365	1885
06370	2663
06371	3994
06373	54
06374	3193
06375	1395
06376	29
06377	1001
06378	2609
06379	3915
06380	1104
06382	3769
06384	1188
06385	6671
06387	90
06389	19
06390	17
06401	7496
06403	2651
06405	13103
06409	379
06410	10044
06412	1585
06413	5439
06414	120
06415	6381
06416	5868
06417	2057
06418	5734
06419	2425
06420	1720
06422	3038
06423	2102
06424	4927
06426	1621
06437	8770
06438	1022
06439	36
06441	2076
06442	1041
06443	6879
06444	102
06447	2151
06450	14635
06451	10074
06455	1094
06456	155
06457	20831
06459	7
06460	16293
06461	5805
06467	205
06468	6238
06469	1243
06470	5370
06471	2811
06472	2204
06473	9758
06475	4460
06477	5252
06478	4929
06479	4222
06480	3632
06481	643
06482	4126
06483	6287
06484	15741
06488	8123
06489	12791
06492	18684
06498	3510
06510	2532
06511	21719
06512	12125
06513	15669
06514	10195
06515	6962
06516	20730
06517	6264
06518	6646
06519	5658
06524	1816
06525	3185
06604	11892
06605	10002
06606	17939
06607	2460
06608	4498
06610	8707
06611	11886
06612	2601
06614	13707
06615	6972
06702	1676
06704	11891
06705	11206
06706	5415
06708	12136
06710	3663
06712	3276
06716	6021
06750	644
06751	1332
06752	703
06753	24
06754	698
06755	374
06756	1146
06757	960
06758	14
06759	2334
06762	2861
06763	906
06770	12555
06776	10103
06777	681
06778	527
06779	3295
06782	766
06783	1029
06784	1609
06785	339
06786	3843
06787	3043
06790	15198
06791	2166
06793	519
06794	389
06795	5265
06796	377
06798	4329
06801	7538
06804	6644
06807	2783
06810	20872
06811	11678
06812	4500
06820	7111
06824	12121
06825	7555
06830	9521
06831	5117
06840	7021
06850	7884
06851	11457
06853	1261
06854	11552
06855	3322
06870	2726
06877	9249
06878	2697
06880	9720
06883	3549
06890	1735
06896	3461
06897	6203
06901	5775
06902	28392
06903	4836
06905	8166
06906	3427
06907	3525
07001	5629
07002	28325
07003	21075
07004	3003
07005	5745
07006	9934
07008	8332
07009	4974
07010	10615
07011	13688
07012	5545
07013	11660
07014	1790
07016	9410
07017	16018
07018	12098
07020	7009
07021	724
07022	5580
07023	2776
07024	18515
07026	11541
07027	2054
07028	2564
07029	9820
07030	27654
07031	6646
07032	14756
07033	2880
07034	4352
07035	4190
07036	16059
07039	10425
07040	8659
07041	2579
07042	11067
07043	4179
07044	5840
07045	3613
07046	1418
07047	23784
07050	12548
07052	17463
07054	12134
07055	20434
07057	4905
07058	2213
07059	5632
07060	15350
07062	4802
07063	4063
07064	1160
07065	12155
07066	5949
07067	6193
07068	2445
07069	2369
07070	6955
07071	9363
07072	2639
07073	4177
07074	937
07075	3821
07076	8751
07077	1258
07078	4420
07079	5953
07080	8270
07081	6615
07082	2079
07083	19916
07086	8176
07087	25782
07088	1140
07090	10676
07092	2540
07093	25598
07094	8525
07095	7733
07102	6254
07103	12864
07104	20827
07105	19425
07106	12753
07107	15279
07108	11414
07109	14151
07110	11575
07111	22166
07112	10809
07114	4234
07201	9512
07202	15284
07203	8206
07204	5236
07205	7125
07206	9141
07208	11995
07302	28070
07304	19841
07305	26319
07306	22988
07307	17345
07310	7363
07311	1206
07401	2332
07403	2981
07405	6800
07407	7267
07410	12150
07416	2615
07417	3778
07418	881
07419	4409
07420	1840
07421	3000
07422	2124
07423	1425
07424	10948
07430	9756
07432	3001
07435	1103
07436	4388
07438	4303
07439	857
07440	1598
07442	4142
07444	4699
07446	5248
07450	8816
07452	3678
07456	4154
07457	1988
07458	3995
07460	1220
07461	7116
07462	3177
07463	3434
07465	2552
07470	18697
07480	5813
07481	5897
07501	12335
07502	4662
07503	6225
07504	3944
07505	1593
07506	7613
07508	8329
07512	3892
07513	3189
07514	6265
07522	7019
07524	4422
07601	20305
07603	3125
07604	4360
07605	3366
07606	932
07607	3814
07608	35
07620	517
07621	9430
07624	2632
07626	3085
07627	1695
07628	6491
07630	2641
07631	11258
07632	1930
07640	1776
07641	1053
07642	3393
07643	4539
07644	9381
07645	3086
07646	6157
07647	1761
07648	1981
07649	2687
07650	7375
07652	8420
07656	3256
07657	4082
07660	5113
07661	4377
07662	2309
07663	5358
07666	13406
07670	5222
07675	9651
07676	3317
07677	2123
07701	10736
07702	1492
07703	0
07704	2072
07711	613
07712	17810
07716	3763
07717	878
07718	2566
07719	9232
07720	2020
07721	1687
07722	3623
07723	340
07724	9974
07726	16379
07727	2767
07728	20513
07730	6612
07731	13755
07732	2642
07733	6193
07734	4834
07735	7938
07737	1497
07738	2445
07739	2252
07740	13105
07746	6023
07747	12788
07748	10229
07750	1503
07751	7398
07753	15810
07755	1973
07756	1716
07757	2490
07758	1627
07760	3521
07762	4034
07764	2771
07801	9184
07803	1389
07820	0
07821	3472
07822	310
07823	3522
07825	3427
07826	2206
07827	1671
07828	5847
07830	2729
07831	20
07832	1345
07833	30
07834	6686
07836	4686
07838	1317
07840	12757
07842	26
07843	4462
07844	45
07846	12
07847	677
07848	1613
07849	3325
07850	2580
07851	126
07852	1591
07853	4209
07856	2070
07857	1821
07860	10389
07863	1601
07865	1044
07866	8687
07869	9016
07870	22
07871	7880
07874	3226
07876	3268
07878	316
07880	77
07881	0
07882	6048
07885	4761
07901	9004
07920	10632
07921	3990
07922	4291
07924	2614
07926	23
07927	1754
07928	6690
07930	2790
07931	1239
07932	4553
07933	1163
07934	603
07935	241
07936	4045
07939	31
07940	5566
07945	3487
07946	1015
07950	8304
07960	18335
07961	0
07970	73
07974	4696
07976	148
07977	238
07979	64
07980	824
07981	3687
08001	335
08002	9287
08003	11527
08004	4080
08005	10591
08006	205
08007	2566
08008	3378
08009	5564
08010	4623
08011	17
08012	15742
08014	101
08015	7195
08016	12972
08019	351
08020	1011
08021	20566
08022	3521
08023	94
08026	802
08027	1970
08028	8251
08029	2178
08030	4968
08031	4918
08032	62
08033	6499
08034	7923
08035	3163
08036	2507
08037	9058
08038	164
08039	12
08041	354
08042	30
08043	12360
08045	1196
08046	10745
08048	4779
08049	2157
08050	11075
08051	4511
08052	8791
08053	19281
08054	19283
08055	10685
08056	1688
08057	7872
08059	2265
08060	9597
08061	1588
08062	5618
08063	1083
08064	38
08065	3283
08066	3159
08067	585
08068	2716
08069	5134
08070	5260
08071	3756
08072	83
08073	9
08074	0
08075	11470
08077	7327
08078	3026
08079	4323
08080	14455
08081	17433
08083	3848
08084	2544
08085	7192
08086	3771
08087	10736
08088	9632
08089	1430
08090	3035
08091	2524
08092	1213
08093	4125
08094	15269
08095	0
08096	13924
08097	1129
08098	3220
08102	2987
08103	4420
08104	8421
08105	8222
08106	3850
08107	5748
08108	8663
08109	8816
08110	6290
08201	4086
08202	844
08203	3954
08204	8090
08205	11172
08210	7406
08212	84
08215	5436
08217	21
08221	2612
08223	1846
08224	53
08225	3299
08226	5619
08230	2274
08232	6466
08234	16931
08240	3
08241	457
08242	1852
08243	1125
08244	4860
08245	16
08246	26
08247	520
08248	75
08251	4767
08260	6951
08270	3155
08302	14711
08310	678
08311	604
08312	3219
08314	200
08316	27
08317	597
08318	4422
08319	450
08320	0
08321	90
08322	3508
08323	310
08324	90
08326	486
08327	192
08328	526
08329	117
08330	11994
08332	14299
08340	399
08341	812
08343	1440
08344	2051
08345	383
08346	189
08348	101
08349	899
08350	287
08352	69
08353	113
08360	16023
08361	6535
08401	16568
08402	2625
08403	535
08406	4496
08501	2437
08502	4049
08505	7407
08510	1856
08511	344
08512	5042
08514	1900
08515	2455
08518	2077
08520	10692
08525	1912
08527	20687
08528	211
08530	3528
08533	2493
08534	4855
08535	1660
08536	8566
08540	18037
08542	1220
08544	12
08550	7737
08551	2091
08553	319
08554	1465
08555	361
08558	2638
08559	1983
08560	1373
08561	152
08562	1610
08608	560
08609	4486
08610	12048
